session_id,sensor_name,sensor_type,start_trigger_time_ms,first_sample_time_ms,startup_latency_ms
session_001,GSR_Shimmer,physiological,1759580294603,1759580294653,50
session_001,Thermal_TOPDON,thermal,1759580294603,1759580294774,171
session_001,RGB_Camera,camera,1759580294603,1759580294854,251
session_002,GSR_Shimmer,physiological,1759580294854,1759580294904,50
session_002,Thermal_TOPDON,thermal,1759580294854,1759580295024,170
session_002,RGB_Camera,camera,1759580294854,1759580295104,250
session_003,GSR_Shimmer,physiological,1759580295104,1759580295154,50
session_003,Thermal_TOPDON,thermal,1759580295104,1759580295274,170
session_003,RGB_Camera,camera,1759580295104,1759580295354,250
session_004,GSR_Shimmer,physiological,1759580295354,1759580295405,51
session_004,Thermal_TOPDON,thermal,1759580295354,1759580295525,171
session_004,RGB_Camera,camera,1759580295354,1759580295605,251
session_005,GSR_Shimmer,physiological,1759580295605,1759580295655,50
session_005,Thermal_TOPDON,thermal,1759580295605,1759580295775,170
session_005,RGB_Camera,camera,1759580295605,1759580295855,250
session_006,GSR_Shimmer,physiological,1759580295855,1759580295905,50
session_006,Thermal_TOPDON,thermal,1759580295855,1759580296025,170
session_006,RGB_Camera,camera,1759580295855,1759580296105,250
session_007,GSR_Shimmer,physiological,1759580296105,1759580296156,51
session_007,Thermal_TOPDON,thermal,1759580296105,1759580296276,171
session_007,RGB_Camera,camera,1759580296105,1759580296356,251
session_008,GSR_Shimmer,physiological,1759580296356,1759580296406,50
session_008,Thermal_TOPDON,thermal,1759580296356,1759580296526,170
session_008,RGB_Camera,camera,1759580296356,1759580296606,250
session_009,GSR_Shimmer,physiological,1759580296606,1759580296656,50
session_009,Thermal_TOPDON,thermal,1759580296606,1759580296776,170
session_009,RGB_Camera,camera,1759580296606,1759580296856,250
session_010,GSR_Shimmer,physiological,1759580296857,1759580296907,50
session_010,Thermal_TOPDON,thermal,1759580296857,1759580297027,170
session_010,RGB_Camera,camera,1759580296857,1759580297107,250
session_011,GSR_Shimmer,physiological,1759580297107,1759580297157,50
session_011,Thermal_TOPDON,thermal,1759580297107,1759580297277,170
session_011,RGB_Camera,camera,1759580297107,1759580297357,250
session_012,GSR_Shimmer,physiological,1759580297357,1759580297407,50
session_012,Thermal_TOPDON,thermal,1759580297357,1759580297527,170
session_012,RGB_Camera,camera,1759580297357,1759580297607,250
session_013,GSR_Shimmer,physiological,1759580297608,1759580297658,50
session_013,Thermal_TOPDON,thermal,1759580297608,1759580297778,170
session_013,RGB_Camera,camera,1759580297608,1759580297858,250
session_014,GSR_Shimmer,physiological,1759580297858,1759580297908,50
session_014,Thermal_TOPDON,thermal,1759580297858,1759580298028,170
session_014,RGB_Camera,camera,1759580297858,1759580298108,250
session_015,GSR_Shimmer,physiological,1759580298108,1759580298158,50
session_015,Thermal_TOPDON,thermal,1759580298108,1759580298278,170
session_015,RGB_Camera,camera,1759580298108,1759580298359,251
session_016,GSR_Shimmer,physiological,1759580298359,1759580298409,50
session_016,Thermal_TOPDON,thermal,1759580298359,1759580298529,170
session_016,RGB_Camera,camera,1759580298359,1759580298609,250
session_017,GSR_Shimmer,physiological,1759580298609,1759580298659,50
session_017,Thermal_TOPDON,thermal,1759580298609,1759580298779,170
session_017,RGB_Camera,camera,1759580298609,1759580298859,250
session_018,GSR_Shimmer,physiological,1759580298859,1759580298909,50
session_018,Thermal_TOPDON,thermal,1759580298859,1759580299029,170
session_018,RGB_Camera,camera,1759580298859,1759580299110,251
session_019,GSR_Shimmer,physiological,1759580299110,1759580299160,50
session_019,Thermal_TOPDON,thermal,1759580299110,1759580299280,170
session_019,RGB_Camera,camera,1759580299110,1759580299360,250
session_020,GSR_Shimmer,physiological,1759580299360,1759580299410,50
session_020,Thermal_TOPDON,thermal,1759580299360,1759580299530,170
session_020,RGB_Camera,camera,1759580299360,1759580299610,250
