sync_index,timestamp_iso,t1_pc_send,t2_phone_recv,t3_pc_recv,measured_offset_ms,rtt_ms,actual_offset_ms,offset_error_ms,quality
1,2025-10-04T12:17:58.911951,1759580278835,1759580278973,1759580278911,100,76,100,0,GOOD
2,2025-10-04T12:17:59.085266,1759580279012,1759580279148,1759580279085,99,73,100,1,GOOD
3,2025-10-04T12:17:59.233650,1759580279185,1759580279309,1759580279233,100,48,100,0,EXCELLENT
4,2025-10-04T12:17:59.379745,1759580279333,1759580279456,1759580279379,100,46,100,0,EXCELLENT
5,2025-10-04T12:17:59.517201,1759580279479,1759580279598,1759580279517,100,38,100,0,EXCELLENT
6,2025-10-04T12:17:59.683594,1759580279617,1759580279750,1759580279683,100,66,100,0,GOOD
7,2025-10-04T12:17:59.843770,1759580279783,1759580279913,1759580279843,100,60,100,0,GOOD
8,2025-10-04T12:18:00.012339,1759580279943,1759580280078,1759580280012,100,69,100,0,GOOD
9,2025-10-04T12:18:00.145952,1759580280112,1759580280229,1759580280145,100,33,100,0,EXCELLENT
10,2025-10-04T12:18:00.310202,1759580280246,1759580280378,1759580280310,100,64,100,0,GOOD
11,2025-10-04T12:18:00.484750,1759580280410,1759580280547,1759580280484,100,74,100,0,GOOD
12,2025-10-04T12:18:00.609626,1759580280584,1759580280697,1759580280609,100,25,100,0,EXCELLENT
13,2025-10-04T12:18:00.756728,1759580280709,1759580280833,1759580280756,100,47,100,0,EXCELLENT
14,2025-10-04T12:18:00.926258,1759580280856,1759580280991,1759580280926,100,70,100,0,GOOD
15,2025-10-04T12:18:01.072634,1759580281026,1759580281149,1759580281072,100,46,100,0,EXCELLENT
16,2025-10-04T12:18:01.202120,1759580281172,1759580281287,1759580281202,100,30,100,0,EXCELLENT
17,2025-10-04T12:18:01.348865,1759580281302,1759580281425,1759580281348,100,46,100,0,EXCELLENT
18,2025-10-04T12:18:01.505338,1759580281448,1759580281577,1759580281505,100,57,100,0,GOOD
19,2025-10-04T12:18:01.640956,1759580281605,1759580281723,1759580281640,100,35,100,0,EXCELLENT
20,2025-10-04T12:18:01.798077,1759580281741,1759580281869,1759580281798,99,57,100,1,GOOD
