sync_index,timestamp_iso,t1_pc_send,t2_phone_recv,t3_pc_recv,measured_offset_ms,rtt_ms,actual_offset_ms,offset_error_ms,quality
1,2025-10-04T12:17:54.894835,1759580274798,1759580275046,1759580274894,200,96,200,0,GOOD
2,2025-10-04T12:17:55.098672,1759580274994,1759580275246,1759580275098,200,104,200,0,ACCEPTABLE
3,2025-10-04T12:17:55.289456,1759580275198,1759580275444,1759580275289,200,91,200,0,GOOD
4,2025-10-04T12:17:55.501926,1759580275389,1759580275645,1759580275501,200,112,200,0,ACCEPTABLE
5,2025-10-04T12:17:55.690733,1759580275602,1759580275846,1759580275690,200,88,200,0,GOOD
6,2025-10-04T12:17:55.894737,1759580275790,1759580276042,1759580275894,200,104,200,0,ACCEPTABLE
7,2025-10-04T12:17:56.088189,1759580275994,1759580276241,1759580276088,200,94,200,0,GOOD
8,2025-10-04T12:17:56.284298,1759580276188,1759580276436,1759580276284,200,96,200,0,GOOD
9,2025-10-04T12:17:56.499314,1759580276384,1759580276641,1759580276499,199,115,200,1,ACCEPTABLE
10,2025-10-04T12:17:56.694385,1759580276599,1759580276846,1759580276694,199,95,200,1,GOOD
11,2025-10-04T12:17:56.912342,1759580276794,1759580277053,1759580276912,200,118,200,0,ACCEPTABLE
12,2025-10-04T12:17:57.105599,1759580277012,1759580277259,1759580277105,200,93,200,0,GOOD
13,2025-10-04T12:17:57.313585,1759580277205,1759580277459,1759580277313,200,108,200,0,ACCEPTABLE
14,2025-10-04T12:17:57.525466,1759580277413,1759580277669,1759580277525,200,112,200,0,ACCEPTABLE
15,2025-10-04T12:17:57.708412,1759580277625,1759580277866,1759580277708,199,83,200,1,GOOD
16,2025-10-04T12:17:57.927739,1759580277808,1759580278068,1759580277927,200,119,200,0,ACCEPTABLE
17,2025-10-04T12:17:58.125311,1759580278027,1759580278276,1759580278125,200,98,200,0,GOOD
18,2025-10-04T12:17:58.336107,1759580278225,1759580278480,1759580278336,199,111,200,1,ACCEPTABLE
19,2025-10-04T12:17:58.521089,1759580278436,1759580278678,1759580278521,199,85,200,1,GOOD
20,2025-10-04T12:17:58.734055,1759580278621,1759580278877,1759580278734,199,113,200,1,ACCEPTABLE
