sync_index,timestamp_iso,t1_pc_send,t2_phone_recv,t3_pc_recv,measured_offset_ms,rtt_ms,actual_offset_ms,offset_error_ms,quality
1,2025-10-04T12:17:52.411610,1759580272387,1759580272449,1759580272411,50,24,50,0,EXCELLENT
2,2025-10-04T12:17:52.535430,1759580272511,1759580272573,1759580272535,50,24,50,0,EXCELLENT
3,2025-10-04T12:17:52.654310,1759580272635,1759580272694,1759580272654,49,19,50,1,EXCELLENT
4,2025-10-04T12:17:52.776987,1759580272754,1759580272815,1759580272776,50,22,50,0,EXCELLENT
5,2025-10-04T12:17:52.898335,1759580272877,1759580272937,1759580272898,49,21,50,1,EXCELLENT
6,2025-10-04T12:17:53.017731,1759580272998,1759580273058,1759580273017,50,19,50,0,EXCELLENT
7,2025-10-04T12:17:53.138412,1759580273117,1759580273178,1759580273138,50,21,50,0,EXCELLENT
8,2025-10-04T12:17:53.259591,1759580273238,1759580273299,1759580273259,50,21,50,0,EXCELLENT
9,2025-10-04T12:17:53.376539,1759580273359,1759580273418,1759580273376,50,17,50,0,EXCELLENT
10,2025-10-04T12:17:53.497759,1759580273476,1759580273537,1759580273497,50,21,50,0,EXCELLENT
11,2025-10-04T12:17:53.618648,1759580273597,1759580273658,1759580273618,50,21,50,0,EXCELLENT
12,2025-10-04T12:17:53.735126,1759580273718,1759580273776,1759580273735,49,17,50,1,EXCELLENT
13,2025-10-04T12:17:53.853104,1759580273835,1759580273894,1759580273853,50,18,50,0,EXCELLENT
14,2025-10-04T12:17:53.969982,1759580273953,1759580274011,1759580273969,50,16,50,0,EXCELLENT
15,2025-10-04T12:17:54.088287,1759580274070,1759580274129,1759580274088,50,18,50,0,EXCELLENT
16,2025-10-04T12:17:54.211727,1759580274188,1759580274250,1759580274211,50,23,50,0,EXCELLENT
17,2025-10-04T12:17:54.334178,1759580274311,1759580274372,1759580274334,49,23,50,1,EXCELLENT
18,2025-10-04T12:17:54.455811,1759580274434,1759580274495,1759580274455,50,21,50,0,EXCELLENT
19,2025-10-04T12:17:54.576007,1759580274555,1759580274615,1759580274575,50,20,50,0,EXCELLENT
20,2025-10-04T12:17:54.697903,1759580274676,1759580274737,1759580274697,50,21,50,0,EXCELLENT
